x,y,z
0.229828,6.93315,11.185
-0.727789,6.12875,11.3382
-0.191523,5.43926,10.8785
1.76202,6.47349,9.806
3.75386,7.77585,7.73755
5.97553,8.1589,6.85654
7.73755,8.77177,7.58433
8.1589,8.84838,8.65686
9.0016,8.73347,10.6104
7.92907,8.54194,11.7978
7.46941,8.1972,12.7555
7.66094,8.54194,12.6788
7.58433,9.07821,11.3765
8.69516,9.65278,11.4531
9.15482,9.95922,11.2999
9.42295,9.03991,11.7978
8.96329,8.1589,12.8321
7.43111,6.09044,12.4107
5.97553,5.20944,11.5297
6.01384,5.59248,10.1507
7.16298,6.85654,9.30804
8.00568,7.08637,9.26973
8.31211,6.77993,9.69109
8.61855,6.47349,9.65278
8.58025,7.08637,8.54194
8.46534,8.08229,6.5118
7.27789,8.65686,4.29012
6.24366,8.00568,3.94538
5.86062,7.43111,2.79624
6.39688,8.50364,0.153219
7.66094,10.1124,-2.98777
7.27789,10.4189,-4.82639
7.23959,10.0358,-5.86062
4.71148,8.54194,-4.9413
2.4898,6.97145,-4.48165
0.536266,5.7457,-5.05622
0.268133,5.51587,-4.78809
-0.612875,3.67725,-3.33251
-1.80032,2.64302,-1.6471
-3.67725,2.06845,-1.68541
-5.66909,2.4515,-2.25998
-6.93315,2.4515,-1.91523
-7.66094,2.4515,1.18745
-9.46126,0.612875,8.12059
-10.0358,-2.83455,14.8622
-11.4914,-6.43519,20.1483
-9.57617,-5.97553,18.3479
-6.97145,-2.25998,13.5599
-2.37489,1.18745,10.8019
0.229828,2.71963,11.8361
1.87693,1.68541,15.7815
2.41319,-0.727789,21.5272
6.5501,-2.29828,25.5109
6.39688,-2.10676,25.2811
8.96329,1.80032,22.1784
13.6365,6.12875,18.5778
16.7008,8.69516,15.9347
13.9429,8.61855,15.8581
8.1972,4.40504,19.6886
3.02607,-0.57457,24.2852
0.344742,-3.52403,26.775
-0.0383047,-3.2559,26.0472
2.64302,-0.497961,22.8296
3.79216,3.02607,18.9991
1.76202,3.63894,17.0073
-1.91523,1.80032,18.1564
-3.37081,0.229828,20.6845
-2.60472,-0.114914,22.0252
-2.22167,0,21.0293
-0.0383047,0,19.5737
0.689484,0.0766094,18.3862
0.497961,0.612875,16.3561
-0.383047,0.766094,14.6707
-1.14914,0.689484,12.3341
-1.53219,0.842703,9.88261
-1.6088,0.306437,7.43111
-1.37897,-0.612875,6.77993
-1.34066,-2.03015,5.7074
-1.26405,-2.41319,4.32843
-1.6471,-2.79624,2.33659
-2.18337,-2.68133,-0.881008
-2.98777,-2.75794,-4.21351
-2.79624,-3.2559,-6.77993
-1.37897,-3.21759,-7.81416
0.459656,-2.64302,-8.69516
1.30236,-2.98777,-8.65686
1.22575,-3.37081,-8.61855
0.536266,-3.52403,-9.53786
-0.153219,-3.21759,-10.0741
-1.03423,-2.41319,-10.6487
-0.766094,-1.80032,-10.8019
-0.153219,-0.919312,-10.687
0.536266,-0.0383047,-10.1124
0.153219,-0.57457,-8.50364
-0.995922,-1.07253,-6.62671
-1.83862,-1.34066,-5.17113
-2.22167,-0.804398,-3.79216
-2.14506,0.268133,-2.56641
-1.80032,1.53219,-1.03423
-1.26405,1.95354,1.26405
-0.689484,2.56641,4.0986
-0.191523,3.44742,7.16298
1.68541,3.90708,10.5721
4.32843,4.51995,14.8622
6.62671,4.86469,17.0456
6.28197,5.7457,21.1442
6.32027,4.51995,22.4465
5.13283,4.78809,23.2509
1.6088,4.21351,23.136
2.64302,4.74978,24.5916
4.32843,5.7074,26.5451
6.39688,6.35858,28.5753
7.66094,6.24366,30.797
7.46941,6.16705,32.9037
6.58841,6.05214,33.9763
8.1589,6.32027,34.819
7.96737,6.16705,35.202
7.77585,6.32027,33.6698
7.92907,7.20128,31.3715
6.01384,7.73755,27.8475
4.74978,7.85246,24.4767
3.2559,7.66094,21.872
2.06845,7.31619,20.0333
1.03423,7.04806,18.2713
0.421352,6.77993,16.3944
-0.536266,6.12875,14.9005
-1.45558,5.63079,13.2917
-1.91523,5.28605,11.6829
-2.14506,4.97961,9.92091
-2.29828,4.55826,7.50772
-2.14506,4.29012,4.0986
-1.37897,4.13691,0.114914
-0.804398,3.56234,-3.98369
-0.191523,2.37489,-6.81823
-0.0766094,0.57457,-8.61855
-0.229828,-0.229828,-11.1084
-0.191523,-0.727789,-14.1727
-0.268133,-0.957617,-16.3178
-0.114914,-1.07253,-17.1988
-0.114914,-1.37897,-16.7775
0.268133,-1.83862,-14.7856
1.26405,-2.41319,-12.7555
0.612875,-2.94946,-10.6104
0.114914,-3.40912,-9.0016
0.0766094,-3.2559,-7.96737
0.229828,-2.87285,-6.93315
0.306437,-2.4515,-5.93723
0.957617,-1.72371,-5.28605
1.80032,-1.14914,-3.48573
1.87693,-0.727789,-0.919312
1.91523,-0.0766094,-0.153219
1.72371,0.612875,0.383047
1.11084,1.03423,1.41727
0.766094,1.18745,3.17929
0.497961,1.34066,5.09452
1.18745,2.33659,6.62671
0.57457,3.2559,8.50364
0.65118,3.14098,11.3765
